06:34:09 | DEBUG    | DL-3 | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/fundamentals.md HTTP/1.1" 200 None
06:34:09 | DEBUG    | DL-3 | Saved resource -> Skeleton UI Sveltekit/docs/svelte/get-started/fundamentals.md
06:34:09 | DEBUG    | MainThread | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/core-api HTTP/1.1" 200 None
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] events.plygrnd.org
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] themes.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.etesie.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.etesie.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] themes.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] v3.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] v2.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] v1.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] ko-fi.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] discord.gg
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] bsky.app
06:34:09 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/docs/svelte/get-started/core-api.md -> Skeleton UI Sveltekit/docs/svelte/get-started/core-api.md
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] chatgpt.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] claude.ai
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | Created directory Skeleton UI Sveltekit/cdn/github.com/skeletonlabs/skeleton/blob/main/packages/skeleton/src/base
06:34:09 | DEBUG    | MainThread | Queue asset: https://github.com/skeletonlabs/skeleton/blob/main/packages/skeleton/src/base/globals.css -> Skeleton UI Sveltekit/cdn/github.com/skeletonlabs/skeleton/blob/main/packages/skeleton/src/base/globals.css
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | Queue asset: https://github.com/skeletonlabs/skeleton/blob/main/packages/skeleton/src/base/theme.css -> Skeleton UI Sveltekit/cdn/github.com/skeletonlabs/skeleton/blob/main/packages/skeleton/src/base/theme.css
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] tailwindcss.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] designcode.io
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] tailwindcss.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | DL-4 | Starting new HTTPS connection (1): github.com:443
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.skeletonlabs.co
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] discord.gg
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] bsky.app
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.youtube.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] cdn.carbonads.com
06:34:09 | DEBUG    | DL-1 | Starting new HTTPS connection (2): github.com:443
06:34:09 | DEBUG    | DL-6 | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/core-api.md HTTP/1.1" 200 None
06:34:09 | DEBUG    | DL-6 | Saved resource -> Skeleton UI Sveltekit/docs/svelte/get-started/core-api.md
06:34:09 | INFO     | MainThread | [6/100] https://www.skeleton.dev/docs/svelte/get-started/migrate-from-v2
06:34:09 | DEBUG    | MainThread | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/migrate-from-v2 HTTP/1.1" 200 None
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] events.plygrnd.org
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] themes.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.etesie.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.etesie.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] themes.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] v3.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] v2.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] v1.skeleton.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] ko-fi.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] discord.gg
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] bsky.app
06:34:09 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/docs/svelte/get-started/migrate-from-v2.md -> Skeleton UI Sveltekit/docs/svelte/get-started/migrate-from-v2.md
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] chatgpt.com
